YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1983  -18.7  -12.7  -13.2   -4.4   -0.7    3.5    4.9    4.0    2.2   -2.0   -5.2   -6.7   -13.7    -6.1     4.1    -1.7   -4.34
1984  -19.1  -19.8   -8.2   -7.7   -0.6    3.1    7.3    4.5    2.6   -2.2   -3.5   -9.9   -15.2    -5.5     5.0    -1.0   -4.19
1985   -2.4   -6.5   -6.1   -2.6    3.0    5.6    6.7    6.2    4.7   -1.0   -1.6   -1.2    -6.3    -1.9     6.2     0.7   -0.32
1986   -5.2   -0.6   -9.8   -3.7    0.3    3.0    6.8    7.1    5.1   -2.5   -7.2   -8.5    -2.3    -4.4     5.6    -1.5   -0.66
1987   -7.3   -8.6   -8.7   -6.3    0.2    6.2    6.0    8.0    4.3   -0.8   -3.5   -6.5    -8.1    -4.9     6.7    -0.0   -1.58
1988   -7.9   -5.0   -5.0   -3.7   -0.2    3.6    6.0    6.6    3.6    0.3   -2.4   -6.6    -6.5    -3.0     5.4     0.5   -0.88
1989  -11.0  -12.6  -13.9   -4.3   -1.2    2.3    5.0    4.9    1.4   -1.9   -2.4   -4.8   -10.1    -6.5     4.1    -1.0   -3.36
1990   -9.5  -11.8   -9.2   -7.1   -1.1    3.8    7.0    5.5    3.2   -0.6   -0.8   -8.7    -8.7    -5.8     5.4     0.6   -2.12
1991  -10.6   -9.5   -7.0   -5.6   -0.2    4.5    8.4    6.0    4.0   -1.0   -5.7   -6.2    -9.6    -4.3     6.3    -0.9   -2.12
1992   -7.4  -17.9   -7.9   -6.2   -3.3    0.9    4.9    4.9    2.3    1.0   -5.7   -9.6   -10.5    -5.8     3.6    -0.8   -3.38
1993  -15.2  -13.5  -14.3   -6.6   -2.2    3.5    6.7    5.6    4.0    1.1   -6.6   -9.6   -12.8    -7.7     5.3    -0.5   -3.92
1994   -8.3   -9.0  -12.0   -3.2    1.9    2.8    5.2    5.1    2.1   -0.4   -3.9   -9.7    -9.0    -4.4     4.4    -0.7   -2.44
1995  -10.8  -10.0  -12.8   -2.2    1.4    4.4    6.8    5.0    3.8   -1.4   -0.6   -5.6   -10.2    -4.5     5.4     0.6   -2.17
1996   -7.3   -6.3   -5.5   -1.3    2.6    3.0    5.0    5.3    3.3   -1.8   -3.8   -4.3    -6.4    -1.4     4.4    -0.8   -1.03
1997   -4.9  -12.1  -10.3   -5.2    1.3    6.3    5.9    5.3    3.4    0.8   -2.4   -4.3    -7.1    -4.7     5.8     0.6   -1.35
1998   -5.4  -12.4   -8.0   -2.2    1.1    5.7    7.1    6.5    4.2   -0.7  999.9   -5.0    -7.4    -3.0     6.4    -0.1   -1.01
